whale,n_total,n_label
whale_82602,12,11
whale_58972,9,6
whale_86585,14,12
whale_04540,7,7
whale_03728,6,6
whale_67801,2,2
whale_48497,5,4
whale_86158,10,7
whale_04435,9,8
whale_39674,5,5
whale_88746,5,5
whale_98746,17,11
whale_75455,7,7
whale_04397,10,10
whale_33961,8,6
whale_74232,21,18
whale_66205,6,3
whale_58747,9,6
whale_79199,18,11
whale_27834,4,4
whale_63816,14,12
whale_15078,7,7
whale_04373,6,4
whale_92515,4,3
whale_81768,15,13
whale_08700,11,8
whale_52998,6,3
whale_38906,14,6
whale_07808,7,6
whale_23855,6,6
whale_89456,12,11
whale_32198,13,11
whale_18845,7,5
whale_42191,6,6
whale_15615,10,6
whale_90446,4,3
whale_89541,8,8
whale_82387,14,12
whale_81960,9,8
whale_18158,15,14
whale_06967,15,11
whale_72235,9,7
whale_90244,13,11
whale_67611,5,3
whale_12609,8,7
whale_98507,6,6
whale_37301,8,6
whale_49877,11,11
whale_69084,5,4
whale_41776,14,11
whale_71062,9,8
whale_49832,10,10
whale_64526,8,8
whale_30074,3,3
whale_61728,3,2
whale_78372,14,11
whale_47858,6,5
whale_65263,2,2
whale_38302,3,3
whale_27221,6,3
whale_56281,1,1
whale_24458,29,20
whale_43961,7,6
whale_86081,1,1
whale_21213,7,4
whale_80124,2,2
whale_00442,3,3
whale_78395,9,7
whale_35004,10,7
whale_99326,6,6
whale_99243,7,5
whale_92153,18,11
whale_75215,7,6
whale_40190,3,2
whale_05784,11,10
whale_41881,6,4
whale_74062,4,3
whale_62655,17,14
whale_46747,9,8
whale_34798,8,7
whale_90377,7,4
whale_43326,3,2
whale_20248,5,5
whale_04480,1,1
whale_35430,7,6
whale_25659,3,3
whale_10583,10,3
whale_40885,4,4
whale_28384,10,9
whale_22212,1,1
whale_06997,6,6
whale_49277,5,5
whale_22101,7,6
whale_60451,4,4
whale_41921,11,8
whale_96240,5,4
whale_79948,3,2
whale_17528,12,7
whale_88085,1,1
whale_02608,7,5
whale_12085,6,4
whale_32021,7,5
whale_88226,1,1
whale_44071,9,6
whale_48633,3,2
whale_19027,12,7
whale_90966,1,0
whale_58309,8,6
whale_78628,6,4
whale_36648,3,3
whale_37014,3,3
whale_29294,6,4
whale_08324,12,9
whale_67407,7,4
whale_88478,6,5
whale_40483,1,1
whale_71554,5,4
whale_68338,5,4
whale_28216,4,0
whale_84264,10,5
whale_52100,8,5
whale_49210,4,4
whale_75413,7,6
whale_23467,3,2
whale_98633,9,8
whale_43374,3,3
whale_83157,2,2
whale_47062,3,3
whale_51332,1,1
whale_31739,5,5
whale_61924,6,3
whale_66539,1,0
whale_12661,5,4
whale_38437,2,2
whale_27860,2,2
whale_97440,2,1
whale_14626,2,2
whale_90141,2,2
whale_16576,2,2
whale_77984,1,1
whale_24679,11,8
whale_66421,5,3
whale_07483,2,1
whale_22118,6,4
whale_64274,8,8
whale_98618,9,9
whale_03935,8,7
whale_87420,2,1
whale_69943,2,2
whale_47768,2,1
whale_03990,3,1
whale_09422,2,2
whale_07331,2,2
whale_88432,1,1
whale_66935,7,5
whale_45294,1,0
whale_74828,4,2
whale_13701,2,1
whale_54497,1,1
whale_65737,4,3
whale_16406,8,6
whale_75767,3,2
whale_26212,2,2
whale_48024,2,1
whale_73167,2,0
whale_34813,2,1
whale_34513,1,1
whale_81915,1,1
whale_44747,5,3
whale_16762,2,2
whale_22848,1,0
whale_17327,2,2
whale_89271,1,1
whale_08729,1,1
whale_05140,1,1
whale_51114,1,1
